"id";"code";"d1";"d2";"d3";"d4";"d5";"d6";"d7";"d8"
1073;"朗廷-SS ";"679.4780";"409.6960";"1146.0590";"409.6090";"263.9160";"1442.1910";"80.6600";"557.0630"
1074;"佳明集团控股";"171.7870";"203.0200";"71.3970";"125.5220";"401.9290";"242.1970";"327.8130";"438.4820"
1075;"大唐环境";"295.2260";"874.9240";"282.0000";"400.4870";"1020.5640";"705.7530";"535.2100";"176.9580"
1076;"香港信贷";"50.0500";"46.2990";"20.6000";"24.3600";"48.0610";"26.0830";"52.8760";"28.1170"
1077;"力量能源 ";"399.4490";"540.0480";"185.0910";"138.1060";"-44.5870";"61.5460";"-2.1020";"-12.5220"
1078;"中国新城镇";"-33.8110";"322.6540";"335.6140";"111.8270";"116.6620";"65.1410";"-4.9630";"351.1400"
1079;"汇银智慧社区";"22.4360";"-722.7520";"-244.0710";"-398.5980";"55.3610";"50.0040";"41.3210";"-149.7550"
1080;"隆基泰和智慧能源";"80.9590";"135.1970";"45.7650";"51.4560";"12.9760";"42.1740";"-0.5120";"6.2900"
1081;"中国金洋";"243.6730";"869.1700";"466.5930";"89.8600";"14.8510";"181.6870";"-34.8820";"-583.1520"
1082;"嘉士利集团";"43.4500";"106.5660";"42.0890";"89.6370";"55.1000";"105.1510";"49.4880";"69.2690"
1083;"农业银行";"115789.0000";"58736.0000";"192962.0000";"160010.0000";"108593.0000";"55710.0000";"183941.0000";"154170.0000"
1084;"盛力达科技";"45.7140";"33.4550";"12.0000";"5.2710";"28.6080";"-88.8040";"55.4510";"-59.7150"
1085;"中国汇融";"25.3390";"50.9040";"19.9390";"40.0780";"3.2570";"101.8860";"56.0360";"165.0030"
1086;"长安民生物流";"51.9970";"127.2990";"56.9150";"113.0050";"48.2940";"237.9580";"121.9950";"221.9640"
1087;"广汇宝信";"362.5810";"403.1790";"414.2260";"803.6880";"64.4360";"220.0940";"549.4580";"153.0330"
1088;"国电科环";"-56.0150";"133.9690";"43.7030";"320.6720";"54.7210";"-4639.6160";"-134.5160";"-393.3740"
1089;"中国擎天软件";"88.7850";"229.6820";"75.2200";"66.8100";"191.3920";"159.5330";"56.7590";"134.5290"
1090;"天美(控股)";"-1.3740";"-0.8180";"1.3350";"1.0130";"0.1760";"3.5130";"1.1090";"0.8910"
1091;"友邦保险";"2228.0000";"6120.0000";"2925.0000";"4164.0000";"2765.0000";"2065.0000";"2204.0000";"3450.0000"
1092;"俊知集团";"166.2380";"277.1430";"122.2340";"192.6080";"76.3740";"275.2530";"140.4500";"369.0690"
